text,label
"From: Zenith Cloud <no-reply@login-confirm.tk>
Subject: Urgent: Your Account Will Be Suspended
We noticed a login attempt from a new location. If this wasn't you, secure your account right away at http://10.111.37.12/secure.

Failure to act within 24 hours will result in permanent suspension.",phishing
"From: Ivory Logistics <no-reply@company.com>
Subject: Weekly Team Standup Notes
Hello, thank you for subscribing to our newsletter. Here are this month's top articles and updates from our blog. https://company.com/verify

Cheers,
Mike",safe
"From: Cascade Airlines <no-reply@workspace.io>
Subject: Your Order Has Shipped
Hello, attached is your flight itinerary for the upcoming trip. Please check in online 24 hours before departure. https://www.workspace.io/verify

Ref ID: 741709

Best,
Alex",safe
"From: Vantage Systems <no-reply@account-alert.click>
Subject: You Have Won a Prize! Claim Now
We were unable to process your last payment. Update your billing information urgently at http://account-alert.click/secure to avoid service interruption.

This link will expire soon. Act now to avoid losing access.",phishing
"From: Vantage Systems <no-reply@login-confirm.tk>
Subject: Payment Failed - Update Your Billing Info
IMPORTANT: Your tax refund of $682 is pending. Provide your bank details at http://www.login-confirm.tk/confirm to receive the deposit immediately.",phishing
"From: Vantage Systems <no-reply@account-alert.click>
Subject: Action Required: Verify Your Identity Now
Your account has been temporarily suspended due to unusual activity. Please login immediately at https://account-alert.click/update to restore access.

Ref ID: 775933

Failure to act within 24 hours will result in permanent suspension.",phishing
"From: Orbit Retail <no-reply@login-confirm.tk>
Subject: Your Password Has Expired - Reset Immediately
IMPORTANT: Your tax refund of $2132 is pending. Provide your bank details at http://www.login-confirm.tk/account to receive the deposit immediately.

This link will expire soon. Act now to avoid losing access.",phishing
"From: Cascade Airlines <no-reply@billing-check.click>
Subject: Security Alert - Unusual Login Detected
Congratulations! You have been selected to receive a $750 gift card. Claim your reward now by visiting http://www.billing-check.click/confirm before it expires.",phishing
"From: Bluepeak Telecom <no-reply@secure-verify.info>
Subject: Action Required: Verify Your Identity Now
Your account has been temporarily suspended due to unusual activity. Please login immediately at http://www.secure-verify.info/account to restore access.",phishing
"From: Orbit Retail <no-reply@company.com>
Subject: Weekly Team Standup Notes
Hello, attached is your flight itinerary for the upcoming trip. Please check in online 24 hours before departure. https://www.company.com/update

Cheers,
Mike",safe
